,state,state_default_rate
0,AK,0.0
1,AL,0.35
2,AR,0.5454545454545454
3,AZ,0.6181818181818182
4,CA,0.3583617747440273
5,CO,0.26666666666666666
6,CT,0.1111111111111111
7,DE,0.75
8,FL,0.45263157894736844
9,GA,0.5581395348837209
10,HI,0.35714285714285715
11,IA,0.38095238095238093
12,ID,0.34615384615384615
13,IL,0.379746835443038
14,IN,0.2830188679245283
15,KS,0.2727272727272727
16,KY,0.29411764705882354
17,LA,0.2857142857142857
18,MA,0.20270270270270271
19,MD,0.46153846153846156
20,ME,0.25
21,MI,0.23529411764705882
22,MN,0.27472527472527475
23,MO,0.37681159420289856
24,MS,0.3611111111111111
25,MT,0.2962962962962963
26,NC,0.3617021276595745
27,ND,0.2
28,NE,0.27586206896551724
29,NH,0.17857142857142858
30,NJ,0.20689655172413793
31,NM,0.125
32,NV,0.3888888888888889
33,NY,0.2706766917293233
34,OH,0.27450980392156865
35,OK,0.20689655172413793
36,OR,0.2702702702702703
37,PA,0.2711864406779661
38,RI,0.14285714285714285
39,SC,0.4166666666666667
40,SD,0.21428571428571427
41,TN,0.42857142857142855
42,TX,0.31413612565445026
43,UT,0.33766233766233766
44,VA,0.3
45,VT,0.11764705882352941
46,WA,0.43548387096774194
47,WI,0.225
48,WV,0.42857142857142855
49,WY,0.0
